review
"Extract aspect, sentiment, and opinion term: Think Jason Statham and you come up with vengeance, action, explosions and hand to hand combat with some meaningful one liners"
"Extract aspect, sentiment, and opinion term: It is all there in this movie and fans of Statham should be immensely pleased"
"Extract aspect, sentiment, and opinion term: The plot is about a retired member of a classified group"" beekeepers"" Adam Clay Jason Statham who is extremely angry because an elderly lady who looks after him has committed suicide after getting scammed of all her money through phishing"
"Extract aspect, sentiment, and opinion term: As per him stealing from elders is worse than stealing from kids"
"Extract aspect, sentiment, and opinion term: He then starts his revenge mission by destroying all those responsible for this and does not stop till he has eliminated them all before walking off into the sunset"
"Extract aspect, sentiment, and opinion term: The movie will remind one of the ""Equaliser"", ""John Wick"" and ""Taken"" franchise"
"Extract aspect, sentiment, and opinion term: Director David Ayer has made an action thriller which allows Statham to do what he does best, that is extreme aggressiveness coupled with anger, intimidation all with his trademark deadpan expression"
"Extract aspect, sentiment, and opinion term: Watch him as he walks in with two fuel cans and tells the receptionist to have building evacuated since he is going to burn it down"
"Extract aspect, sentiment, and opinion term: He also says that when the law fails to deliver justice, he is there to do the needful"
"Extract aspect, sentiment, and opinion term: It is Statham all the way as he unleashes his anger and creates mayhem as only he can"
"Extract aspect, sentiment, and opinion term: At some points he bashes up a dozen guys of a SWAT team which seems far fetched"
"Extract aspect, sentiment, and opinion term: At a few other places the action appears beyond the realm of credibility but what the hell it is finally all there for entertainment."
"Extract aspect, sentiment, and opinion term: So these days the protagonist seems to be someone who has no personality, no character development but just goes around being mad"
"Extract aspect, sentiment, and opinion term: Actually, none of the characters had any development, except maybe the female FBI agent"
"Extract aspect, sentiment, and opinion term: Other than that, it is useless and a waste of hours of my life"
"Extract aspect, sentiment, and opinion term: If you have seen one ""get even"" movie, you have seen this one"
"Extract aspect, sentiment, and opinion term: However maybe not so badly done"
"Extract aspect, sentiment, and opinion term: I could care less about any of the characters, the plot was obvious, the build up to the final scene was almost laughable, but I sat through it"
"Extract aspect, sentiment, and opinion term: Maybe that was the goal"
"Extract aspect, sentiment, and opinion term: Put something on TV a bored person could watch for a couple hours."
"Extract aspect, sentiment, and opinion term: Jason Statham sleepwalks through this ""One man against the World"" clunker"
"Extract aspect, sentiment, and opinion term: He has always lacked expression while kicking butt, but he is especially wooden here"
"Extract aspect, sentiment, and opinion term: The acting is generally poor from the entire cast"
"Extract aspect, sentiment, and opinion term: So disappointed Phylicia Rashad Jeromy Irons love them both participated"
"Extract aspect, sentiment, and opinion term: The dumb script did not help"
"Extract aspect, sentiment, and opinion term: Action sequences are well-shot"
"Extract aspect, sentiment, and opinion term: Verdict: Preposterous, horrible script and emotionless violence"
